"type","name","iso_country","municipality","icao_code","iata_code"
"medium_airport","Andrés Sabella Gálvez International Airport","CL","Antofagasta","SCFA","ANF"
"medium_airport","Captain Fuentes Martinez Airport","CL","Porvenir","SCFM","WPR"
"small_airport","Frutillar Airport","CL","Frutillar","SCFR",
"small_airport","Futaleufú Airport","CL","Futaleufu","SCFT","FFU"
"small_airport","Union Glacier Blue-Ice Runway","AQ","Union Glacier","SCGC","UGL"
"small_airport","María Dolores Airport","CL","Los Angeles","SCGE","LSQ"
"medium_airport","Guardiamarina Zañartu Airport","CL","Puerto Williams","SCGZ","WPU"
"medium_airport","Cochrane Airport","CL","Cochrane","SCHR","LGR"
"medium_airport","Carriel Sur Airport","CL","Concepcion","SCIE","CCP"
"medium_airport","Mataveri Airport","CL","Isla De Pascua","SCIP","IPC"
"small_airport","Juan Kemp Airport","CL","Osorno","SCJK",
"medium_airport","Cañal Bajo Carlos Hott Siebert Airport","CL","Osorno","SCJO","ZOS"
"small_airport","Coposa Airport","CL","Pica","SCKP","CPP"
"medium_airport","Vallenar Airport","CL","Vallenar","SCLL","VLR"
"small_airport","Villa Cerro Castillo Airport","CL","Villa Cerro Castillo","SCNL",
"medium_airport","Lieutenant Julio Gallardo Airport","CL","Puerto Natales","SCNT","PNT"
"small_airport","Pilauco Airport","CL","Osorno","SCOP",
"small_airport","El Tuqui Airport","CL","Ovalle","SCOV","OVL"
"small_airport","Pucón Airport","CL","Pucon","SCPC","ZPC"
"small_airport","Mocopulli Airport","CL","Dalcahue","SCPQ","MHC"
"small_airport","Peulla Airport","CL","Peulla","SCPU",
"small_airport","El Mirador Airport","CL","Puerto Varas","SCPV","PUX"
"medium_airport","La Araucanía Airport","CL","Temuco","SCQP","ZCO"
"medium_airport","Chañaral Airport","CL","Chañaral","SCRA","CNR"
"small_airport","Rodelillo Airport","CL","Viña Del Mar","SCRD","VAP"
"small_airport","Teniente Rodolfo Marsh Martin Airport","AQ","Villa Las Estrellas","SCRM","TNM"
"small_airport","Franco Bianco Airport","CL","Cerro Sombrero","SCSB","SMB"
"medium_airport","La Florida Airport","CL","La Serena-Coquimbo","SCSE","LSC"
"small_airport","Víctor Lafón Airport","CL","San Felipe","SCSF","SSD"
"small_airport","Gamboa Airport","CL","Castro","SCST","WCA"
"medium_airport","Maquehue Airport","CL","Temuco","SCTC","PZS"
"medium_airport","El Tepual Airport","CL","Puerto Montt","SCTE","PMC"
"medium_airport","Panguilemo Airport","CL","Talca","SCTL","TLX"
"medium_airport","Nuevo Chaitén Airport","CL","Chaitén","SCTN","WCH"
"medium_airport","Victoria Airport","CL","Victoria","SCTO","ZIC"
"medium_airport","Las Breas Airport","CL","Taltal","SCTT","TTC"
"medium_airport","Pichoy Airport","CL","Valdivia","SCVD","ZAL"
"medium_airport","Viña del Mar Airport","CL","Viña del Mar","SCVM","KNA"
"small_airport","Shendi Airport","SD","Shendi","HSND",
"small_airport","Estadual de Campos dos Amarais - Prefeito Francisco Amaral Airport","BR","Campinas","SDAM",
"small_airport","Senadora Eunice Micheles Airport","BR","São Paulo De Olivença","SDCG","OLC"
"small_airport","Sorocaba Airport","BR","Sorocaba","SDCO","SOD"
"small_airport","Jales Airport","BR","Jales","SDJL","JLS"
"small_airport","Jornalista Benedito Pimentel Airport","BR","Ourinhos","SDOU","OUS"
"small_airport","Ourilândia do Norte Airport","BR","Ourilândia do Norte","SDOW","OIA"
"small_airport","Resende Airport","BR","Resende","SDRS","REZ"
"small_airport","Mário Pereira Lopes–São Carlos Airport","BR","São Carlos","SDSC","QSC"
"small_airport","Ubatuba Gastão Madeira State Airport","BR","Ubatuba","SDUB","UBT"
"small_airport","Itaperuna Airport","BR","Itaperuna","SDUN","ITP"
"small_airport","Domingos Pignatari Airport","BR","Votuporanga","SDVG","VOT"
